year,grade,step,locality_code,annual_rate,source_url
2025,02,09,,31436,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,10,,32253,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,01,,28078,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,02,,29014,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,03,,29950,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,04,,30887,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,05,,31822,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,06,,32757,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,07,,33692,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,08,,34629,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,09,,35564,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,03,10,,36500,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,01,,31524,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,02,,32574,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,03,,33625,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,04,,34674,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,05,,35726,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,06,,36777,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,07,,37827,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,08,,38877,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,09,,39926,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,04,10,,40978,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,01,,35273,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,02,,36450,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,03,,37625,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,04,,38800,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,05,,39977,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,06,,41152,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,07,,42329,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,08,,43504,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,09,,44679,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,05,10,,45855,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,01,,39322,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,02,,40632,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,03,,41943,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,04,,43254,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,05,,44563,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,06,,45875,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,07,,47185,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,08,,48495,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,09,,49804,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,06,10,,51115,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,01,,43702,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,02,,45159,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,03,,46615,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,04,,48072,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,05,,49530,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,06,,50986,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,07,,52443,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,08,,53900,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,09,,55357,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,07,10,,56814,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,01,,48402,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,02,,50015,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,03,,51629,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,04,,53243,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,05,,54858,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,06,,56471,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,07,,58085,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,08,,59700,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,09,,61314,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,08,10,,62929,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,01,,53458,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,02,,55241,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,03,,57023,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,04,,58806,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,05,,60590,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,06,,62373,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,07,,64156,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,08,,65938,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,09,,67720,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,09,10,,69505,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,01,,58874,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,02,,60838,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,03,,62802,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,04,,64766,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,05,,66729,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,06,,68692,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,07,,70656,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,08,,72620,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,09,,74583,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,10,10,,76547,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,01,,64699,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,02,,66856,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,03,,69013,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,04,,71169,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,05,,73326,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,06,,75483,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,07,,77640,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,08,,79795,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,09,,81953,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,11,10,,84109,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,01,,77544,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,02,,80131,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,03,,82716,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,04,,85304,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,05,,87890,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,06,,90476,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,07,,93063,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,08,,95650,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,09,,98237,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,12,10,,100823,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,01,,92216,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,02,,95289,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,03,,98363,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,04,,101437,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,05,,104511,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,06,,107585,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,07,,110659,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,08,,113733,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,09,,116807,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,13,10,,119881,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,01,,108987,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,02,,112619,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,03,,116250,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,04,,119881,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,05,,123512,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,06,,127143,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,07,,130775,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,08,,134406,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,09,,138038,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,14,10,,141669,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,01,,128183,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,02,,132456,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,03,,136728,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,04,,141001,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,05,,145275,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,06,,149548,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,07,,153821,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,08,,158094,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,09,,162367,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,15,10,,166640,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
